"filename", "language", "Python", "JSON", "pip requirements", "JavaScript", "JavaScript JSX", "CSS", "Markdown", "XML", "HTML", "comment", "blank", "total"
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\feedback\models.py", "Python", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 33
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\feedback\serializer.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\feedback\tests.py", "Python", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 4
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\feedback\urls.py", "Python", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\feedback\views.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 73
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\admin.py", "Python", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 56
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\apps.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\filters.py", "Python", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\fixtures\Developer.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\fixtures\ESRBRating.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\fixtures\Game.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\fixtures\Genre.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\fixtures\Platform.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\fixtures\Requirement.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\fixtures\Screenshot.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\fixtures\Tag.json", "JSON", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\management\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\management\commands\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\management\commands\fetch_game_by_id.py", "Python", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\management\commands\fetch_games.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\management\commands\fetch_games_price.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\management\commands\fetch_genres.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\management\commands\fetch_tags.py", "Python", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\migrations\0001_initial.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 70
"c:\Users\Alpha\.vscode\VS Codes\Works\WEB-works\GameStore\backend\games\migrations\0002_developer_rename_rating_game_esrb_rating_and_more.py", "Python", 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 42
